,companyName,companyNumber,status,link
9,A. & B. AIR SOLUTIONS LIMITED,4233134,Active,https://find-and-update.company-information.service.gov.uk/company/04233134
10,A & J GLOBAL LIMITED,4303115,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04303115
11,A & S ROWLANDS (PROPERTIES) LIMITED,4376324,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04376324
12,A & J FOWLEY BUILDING CONTRACTORS LIMITED,4401422,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04401422
13,A & D BODYSHOP LIMITED,4435663,Active,https://find-and-update.company-information.service.gov.uk/company/04435663
14,A & R ENTERPRISES (YORK) LIMITED,4495268,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04495268
15,A & J PROJECTS LIMITED,4544487,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04544487
16,A & T TREE CARE LTD,4568780,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04568780
17,A & S MECHANICAL SERVICES LIMITED,4584520,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04584520
18,A. & H. (ROCHESTER) LIMITED,4599025,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04599025
19,A&E GROUP LTD,4620682,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04620682
20,A&H SITE SERVICES LTD,4643181,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04643181
21,A & S LASS CHARITIES LIMITED,4645789,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04645789
22,A & J WERNICK LIMITED,4652108,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04652108
23,A & L ELECTRICAL LIMITED,4659842,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04659842
24,A & S CONSTRUCTION SERVICES LIMITED,4709618,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04709618
25,A & L CROOKS LIMITED,4722546,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04722546
26,A & A INSULATION SERVICES LIMITED,4724335,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04724335
27,A & P CARRINGTON CONSULTING LIMITED,4739785,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04739785
28,A & F ENGINEERING NORWICH LIMITED,4742827,Active,https://find-and-update.company-information.service.gov.uk/company/04742827
29,A & T FIRE SOLUTIONS LTD,4785780,Active,https://find-and-update.company-information.service.gov.uk/company/04785780
30,A & A PROPERTY INVESTMENTS LIMITED,4824541,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04824541
31,A & D HOMES LIMITED,4891821,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04891821
32,A & M BUSINESS EQUIPMENT LIMITED,4918606,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04918606
33,A & S WINDOWS LIMITED,4961667,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04961667
34,A & P PUBLINE LIMITED,4966368,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04966368
35,A & P CLARK LIMITED,5005830,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05005830
36,A & B CONSTRUCTION LIMITED,5064590,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05064590
37,A & S MOTORS (WILLENHALL) LIMITED,5105499,Active,https://find-and-update.company-information.service.gov.uk/company/05105499
38,A & C HOME IMPROVEMENTS LIMITED,5112813,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05112813
39,A & K COMMUNICATIONS LIMITED,5138297,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05138297
0,A & P TRAVEL LIMITED,5143575,Liquidation,https://find-and-update.company-information.service.gov.uk/company/05143575
1,A & R PROJECTS LIMITED,5284934,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05284934
2,A & F OPTICAL LIMITED,5313276,Liquidation,https://find-and-update.company-information.service.gov.uk/company/05313276
3,A & G CATERING LTD,5422371,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05422371
4,A & C FRANCE PROPERTIES LIMITED,5436315,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05436315
5,A & J WARD INTERIORS LIMITED,5453865,Active,https://find-and-update.company-information.service.gov.uk/company/05453865
6,A & J LINSEY PAVING LIMITED,5454016,Liquidation,https://find-and-update.company-information.service.gov.uk/company/05454016
7,A&F SOLUTIONS UK LTD,5475426,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05475426
8,A & A PROPERTY REFURBISHMENTS LIMITED,5482491,Administration,https://find-and-update.company-information.service.gov.uk/company/05482491
9,A & J FINANCIAL ENTERPRISES LIMITED,5499002,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05499002
10,A & D CRASH REPAIR CENTRE LTD.,5587182,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05587182
11,A & S RAIL LIMITED,5594417,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05594417
12,A&S LTD,5606889,Receivership,https://find-and-update.company-information.service.gov.uk/company/05606889
13,A & H PROPERTY PROJECTS LIMITED,5689241,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05689241
14,A & V MAINTENANCE LIMITED,5690871,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05690871
15,A & V PROJECTS LIMITED,5712895,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05712895
16,A & J QUALITY MEATS LTD,5720600,Active,https://find-and-update.company-information.service.gov.uk/company/05720600
17,A & E SERVICES LIMITED,5725784,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05725784
18,A&K CARPENTRY LIMITED,5778614,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05778614
19,A & E ADVERTISING AND EXHIBITION SERVICES LIMITED,5834938,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05834938
20,A & V LONDON LTD,5840263,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05840263
21,A&G BUILDING&JOINERY SERVICES LIMITED,5903606,Active,https://find-and-update.company-information.service.gov.uk/company/05903606
22,A. & C. TURNER ENGINEERING LIMITED,5944777,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05944777
23,A & M PLASTERING SERVICES LIMITED,5949101,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05949101
24,A&D DEVELOPMENTS (CORNWALL) LIMITED,5965156,Liquidation,https://find-and-update.company-information.service.gov.uk/company/05965156
25,A & J MACDONALD MANAGEMENT LIMITED,5966351,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05966351
26,A&M KINZEL SIEBDRUCKMASCHINEN LIMITED,6067486,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06067486
27,A & D DUNCAN LTD,6238398,Active,https://find-and-update.company-information.service.gov.uk/company/06238398
28,A&H BUSINESS SERVICES LIMITED,6255174,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06255174
29,A&E SYSTEMS LIMITED,6271390,Liquidation,https://find-and-update.company-information.service.gov.uk/company/06271390
30,A & G BRICKWORK LIMITED,6316071,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06316071
31,A&L HALL LIMITED,6341659,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06341659
32,A & M (LEEDS) LTD,6377385,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06377385
33,A & A FAMILY CENTRE LIMITED,6381643,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06381643
34,A & R LIMITED,6417315,Liquidation,https://find-and-update.company-information.service.gov.uk/company/06417315
35,A & J EKSTROMS LIMITED,6452107,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06452107
36,A & P PLUMBING AND HEATING (UK) LTD,6475800,Liquidation,https://find-and-update.company-information.service.gov.uk/company/06475800
37,A & K CLEANERS LIMITED,6476034,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06476034
38,A & M SKIPS LIMITED,6486747,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06486747
39,A & R IMPEX LIMITED,6628217,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06628217
0,A & S STEWART LIMITED,6658482,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06658482
1,A & M UNIVERSAL (PROPERTY) LIMITED,6661701,Active,https://find-and-update.company-information.service.gov.uk/company/06661701
2,A & D INTEGRATIONS LTD,6684055,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06684055
3,A & J BUILDERS (ESSEX) LTD,6803379,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06803379
4,A & P ELECTRICAL UK LIMITED,6865988,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06865988
5,A & T BUSINESS SERVICES LIMITED,6892486,Active,https://find-and-update.company-information.service.gov.uk/company/06892486
6,A & A INTERIORS LIMITED,6901842,Active,https://find-and-update.company-information.service.gov.uk/company/06901842
7,A&A CARE HOMES LIMITED,6917493,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06917493
8,A & P CONTRACTS UK LIMITED,6917887,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06917887
9,A & E (MANCHESTER) LIMITED,6995022,Dissolved,https://find-and-update.company-information.service.gov.uk/company/06995022
10,A & R TAILORING & DRESS DECORATING LTD,7031707,Active,https://find-and-update.company-information.service.gov.uk/company/07031707
11,A&D BEDFORD VEHICLES & SPARES LIMITED,7062859,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07062859
12,A & H ENGINEERING CONSULTANCY LIMITED,7085170,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07085170
13,A & R SERVICES (GLOSSOP) LTD,7159428,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07159428
14,A &R CHELMSFORD CONSTRUCTION LIMITED,7183570,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07183570
15,A & I LEATHER BEDS LIMITED,7189723,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07189723
16,A & RS CONSULTING LTD,7212419,Active,https://find-and-update.company-information.service.gov.uk/company/07212419
17,A&P FOOD STORES LTD,7335376,Active,https://find-and-update.company-information.service.gov.uk/company/07335376
18,A & J HOUDEN LTD,7341157,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07341157
19,A & K FOSTERS LTD,7378194,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07378194
20,A & A WORLDWIDE PROPERTIES LIMITED,7415722,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07415722
21,A&R MEDICAL LTD,7417243,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07417243
22,A & F CLAIMS LTD,7486054,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07486054
23,A&F ENTERPRISES LTD,7498318,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07498318
24,A&S3001 LIMITED,7508488,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07508488
25,A & F FUELS LIMITED,7525834,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07525834
26,A&J SPORTS INTERNATIONAL LTD,7535897,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07535897
27,A & J SKIPS LIMITED,7579919,Active,https://find-and-update.company-information.service.gov.uk/company/07579919
28,A&D ICT LIMITED,7593625,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07593625
29,A & O HEALTHCARE LIMITED,7602165,Active,https://find-and-update.company-information.service.gov.uk/company/07602165
30,A & DT LIMITED,7611098,Active,https://find-and-update.company-information.service.gov.uk/company/07611098
31,A&J RACING LTD,7621083,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07621083
32,A & M FORTUNE LTD,7624919,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07624919
33,A&A STAR LIMITED,7624944,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07624944
34,A&M STRENGTH & CONDITIONING LIMITED,7626732,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07626732
35,A & B FLORIST LIMITED,7666697,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07666697
36,A & P ELECTRICAL CONTRACTING SERVICES LIMITED,7700241,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07700241
37,A & M VISA SERVICES LTD,7725981,Active,https://find-and-update.company-information.service.gov.uk/company/07725981
38,A & M ASSESSORS LIMITED,7763738,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07763738
39,A&A FS LTD,7793740,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07793740
0,A&C DRIVE LIMITED,7805486,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07805486
1,A & H RETAIL LIMITED,7808762,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07808762
2,A & G GARAGES PROPERTIES LIMITED,7830715,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07830715
3,"A&T, ARTS & TALENTS LTD",7831390,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07831390
4,A & S FINANCE LIMITED,7862824,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07862824
5,A&F PROFESSIONAL CONSULTING LTD,7879234,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07879234
6,A&B TRADING PARTNERS LIMITED,7885293,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07885293
7,A & Y LTD,7941615,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07941615
8,A&E PAINT SOLUTIONS LIMITED,7942981,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07942981
9,A & F ACCOUNTANTS LIMITED,7952128,Active,https://find-and-update.company-information.service.gov.uk/company/07952128
10,A & J (DURHAM) LIMITED,7961639,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07961639
11,A & J REDEVELOPMENTS LTD,7969242,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07969242
12,A&L ACCOMMODATION LIMITED,7970446,Dissolved,https://find-and-update.company-information.service.gov.uk/company/07970446
13,A & F BLOCK MANAGEMENT LIMITED,7996202,Active,https://find-and-update.company-information.service.gov.uk/company/07996202
14,A & E CAR CARE LIMITED,8000575,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08000575
15,A & M ASSOCIATES LIMITED,8010822,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08010822
16,A & R DARGUE BUILDING CONTRACTORS LIMITED,8020694,Active,https://find-and-update.company-information.service.gov.uk/company/08020694
17,A & NG LIMITED,8047922,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08047922
18,A & P DINE IN LIMITED,8053740,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08053740
19,A & D PROPERTIES (WESTCOUNTRY) LIMITED,8054086,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08054086
20,A & T UK INVESTMENTS LTD,8056827,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08056827
21,A & C BEARD BROTHERS LIMITED,8066183,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08066183
22,A & J TALBOT HOLDINGS LIMITED,8085684,Active,https://find-and-update.company-information.service.gov.uk/company/08085684
23,A & R MECHANICAL & ELECTRICAL CONTRACTORS LIMITED,8122111,Liquidation,https://find-and-update.company-information.service.gov.uk/company/08122111
24,A & D ROBINSON INVESTMENTS LIMITED,8133506,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08133506
25,"A & D EXPORTS, IMPORTS LIMITED",8163411,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08163411
26,A&L MEDICAL LTD,8174986,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08174986
27,A & A HARDING SERVICES LIMITED,8219835,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08219835
28,A & J KOHLI LIMITED,8242338,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08242338
29,"A & E LAB (UK) CO., LTD.",8267561,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08267561
30,A & D JONES LTD,8297598,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08297598
31,A&SD SERVICES LIMITED,8334791,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08334791
32,A &H FURNITURE LTD,8342223,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08342223
33,A & M WALKER LIMITED,8356568,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08356568
34,A&R BUSINESS CONSULTING LIMITED,8371430,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08371430
35,A&H CONSULTANCY LIMITED,8392866,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08392866
36,A&O TRADING LIMITED,8409583,Active,https://find-and-update.company-information.service.gov.uk/company/08409583
37,A & L PRECISION ENGINEERING LIMITED,8427057,Active,https://find-and-update.company-information.service.gov.uk/company/08427057
38,A & K SERVICES CO (ESSEX) LIMITED,8430835,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08430835
39,A&E BELLEW LIMITED,8432967,Receivership,https://find-and-update.company-information.service.gov.uk/company/08432967
0,A & J CAFES LIMITED,8455502,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08455502
1,A&J RENOVATIONS LIMITED,8463446,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08463446
2,A & P FINANCE LTD,8504043,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08504043
3,A&W (UK) LIMITED,8525804,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08525804
4,A & K MANAGEMENT CONSULTANTS LIMITED,8526209,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08526209
5,A&P IT DEVELOPERS LTD,8542974,Active,https://find-and-update.company-information.service.gov.uk/company/08542974
6,A&G BUSINESS SERVICES LIMITED,8553316,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08553316
7,A & B DOWSETT ELECTRICAL CONTRACTORS LIMITED,8566855,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08566855
8,A & A NEWS LIMITED,8571278,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08571278
9,A & AJ SERVICES LIMITED,8586505,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08586505
10,A&S PAINTING AND DECORATING LIMITED,8611928,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08611928
11,A&CO LIMITED,8615625,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08615625
12,A&S HEATING LTD,8626477,Liquidation,https://find-and-update.company-information.service.gov.uk/company/08626477
13,A & C HERBERT LIMITED,8633071,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08633071
14,A & M TAMPI MEDICAL SERVICES LTD,8640704,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08640704
15,A & P SECURITY LTD,8671354,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08671354
16,A & B CREDIT CORP LTD,8702310,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08702310
17,A & S PROPERTY SERVICES (SOUTH EAST) LTD,8704492,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08704492
18,A & M 78 GLOBAL LOGISTICS LTD,8717602,Dissolved,https://find-and-update.company-information.service.gov.uk/company/08717602
